initial_alias,converted_alias
NM_001271999,242611_at
NM_033407,225384_at
NM_033407,237470_at
NM_033407,242611_at
NM_001272000,225384_at
NM_001272000,237470_at
NM_001272000,242611_at
NM_001272002,225384_at
NM_001272002,237470_at
NM_001272002,242611_at
NM_181712,229125_at
NM_001320269,229125_at
NM_001330614,225384_at
NM_001330614,237470_at
NM_001330614,242611_at
NM_001367561,225384_at
NM_001367561,237470_at
NM_001367561,242611_at
NM_032437,226800_at
NM_001293274,225627_s_at
NM_001366235,244432_at
NM_001366165,231851_at
NM_001321857,239695_at
NM_001366234,244432_at
NM_001366233,244432_at
NM_152489,244432_at
NM_018211,231851_at
NM_001366232,244432_at
NM_020925,225627_s_at
NM_002227,239695_at
NM_001321855,239695_at
NM_001321856,239695_at
NM_001320923,239695_at
NM_014787,None
NM_001198688,None
NM_001198689,None
NM_001003680,None
NM_001256865,None
NM_001256864,None
NM_002303,None
NM_001198687,None
NM_001003679,None
NM_207014,229816_at
NM_001146113,225475_at
NM_001146113,240227_at
NM_001146112,225475_at
NM_001146112,240227_at
NM_001077702,225475_at
NM_001077702,240227_at
NM_001146111,225475_at
NM_001146111,240227_at
NM_001308203,223672_at
NM_001077700,225475_at
NM_001077700,240227_at
NM_032291,223672_at
NM_001077703,225475_at
NM_001077703,240227_at
NM_001077701,225475_at
NM_001077701,240227_at
NM_001350217,223672_at
NM_024763,229816_at
NM_020948,225475_at
NM_020948,240227_at
NM_001350218,223672_at
NM_001146110,225475_at
NM_001146110,240227_at
NM_001077704,225475_at
NM_001077704,240227_at
NM_001350530,225475_at
NM_001350530,240227_at
NM_018841,222834_s_at
NM_001258216,None
NM_001258214,None
NM_001258215,None
NM_001319233,None
NM_144701,None
NM_001559,None
NM_001374259,None
NM_001366836,233499_at
NM_001366836,239767_at
NM_001366841,233499_at
NM_001366841,239767_at
NM_001350216,233499_at
NM_001350216,239767_at
NM_001366837,233499_at
NM_001366837,239767_at
NM_001330635,233499_at
NM_001330635,239767_at
NM_001366839,233499_at
NM_001366839,239767_at
NM_001366842,233499_at
NM_001366842,239767_at
NM_001366840,233499_at
NM_001366840,239767_at
NM_001366838,233499_at
NM_001366838,239767_at
NM_001370785,233499_at
NM_001370785,239767_at
NM_001126044,None
NM_198714,None
NM_198718,None
NM_198717,None
NM_198716,None
NM_198715,None
NM_198719,None
NM_173808,229461_x_at
NM_173808,239548_at
NM_173808,243357_at
NM_001322315,235498_at
NM_001105659,235498_at
NM_001889,None
NM_001134759,None
NM_001130043,None
NM_001130042,None
NM_001002912,229973_at
NM_001002912,243753_at
NM_000016,None
NM_002440,None
NM_001127328,None
NM_001286044,None
NM_001286042,None
NM_001286043,None
NM_174858,222862_s_at
NM_012093,222862_s_at
NM_001320273,230482_at
NM_005482,227639_at
NM_030965,230482_at
NM_001320274,None
NM_201624,None
NM_201626,None
NM_001270384,235125_x_at
NM_001270384,243042_at
NM_001363583,235125_x_at
NM_001363583,243042_at
NM_001363584,235125_x_at
NM_001363584,243042_at
NM_001363586,235125_x_at
NM_001363586,243042_at
NM_017655,236548_at
NM_000959,None
NM_001304725,236548_at
NM_198549,235125_x_at
NM_198549,243042_at
NM_001317099,None
NM_001317102,None
NM_001317101,None
NM_001317100,None
NM_015017,None
